set_index,jobs,machines,mode,objective,minmin_value,aco_value,improvement_percent,set_runtime_ms,minmin_makespan,aco_makespan,minmin_weighted_flow,aco_weighted_flow,minmin_weighted_tardiness,aco_weighted_tardiness,minmin_weighted_tardy_jobs,aco_weighted_tardy_jobs
35,100,3,static,weighted_tardiness,157.2200000000,114.2500000000,27.331128,161.006,1232,1293,5925.5500000000,6040.3300000000,157.2200000000,114.2500000000,2.2300000000,2.2300000000
36,100,3,static,weighted_tardiness,608.8500000000,538.2000000000,11.603843,172.988,1114,1178,3549.7200000000,3554.4000000000,608.8500000000,538.2000000000,3.5900000000,3.5900000000
37,100,3,static,weighted_tardiness,2081.1600000000,1977.5000000000,4.980876,153.670,1133,1166,5307.1200000000,5304.4600000000,2081.1600000000,1977.5000000000,8.3400000000,9.1600000000
38,100,3,static,weighted_tardiness,1598.0800000000,1462.3800000000,8.491440,155.485,1174,1226,4124.9700000000,4433.9200000000,1598.0800000000,1462.3800000000,17.0600000000,17.4700000000
39,100,3,static,weighted_tardiness,0.0000000000,0.0000000000,0.000000,156.714,1216,1216,4501.5600000000,4501.5600000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
40,12,6,static,weighted_tardiness,5.2100000000,0.0000000000,100.000000,8.482,86,77,182.7200000000,195.6200000000,5.2100000000,0.0000000000,1.5200000000,0.0000000000
41,12,6,static,weighted_tardiness,5.4000000000,2.0000000000,62.962963,8.353,94,97,96.8100000000,96.8800000000,5.4000000000,2.0000000000,0.4500000000,0.5000000000
42,12,6,static,weighted_tardiness,105.2800000000,75.9400000000,27.868541,8.777,98,91,173.0200000000,152.2100000000,105.2800000000,75.9400000000,3.6200000000,3.3400000000
43,12,6,static,weighted_tardiness,71.8000000000,61.5900000000,14.220056,8.311,86,83,162.2200000000,154.1300000000,71.8000000000,61.5900000000,2.5800000000,1.6000000000
44,12,6,static,weighted_tardiness,104.6900000000,99.2000000000,5.244054,8.530,116,98,166.1800000000,160.6900000000,104.6900000000,99.2000000000,4.3700000000,4.3700000000
45,25,6,static,weighted_tardiness,0.0000000000,0.0000000000,0.000000,24.722,120,120,182.4600000000,182.4600000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
46,25,6,static,weighted_tardiness,17.0000000000,6.8000000000,60.000000,24.171,160,146,272.5300000000,311.9800000000,17.0000000000,6.8000000000,0.1700000000,0.1700000000
47,25,6,static,weighted_tardiness,76.0700000000,73.4100000000,3.496779,24.372,128,128,234.4900000000,276.9000000000,76.0700000000,73.4100000000,6.1100000000,6.1100000000
48,25,6,static,weighted_tardiness,142.9700000000,109.6100000000,23.333566,24.326,138,148,268.6000000000,263.4700000000,142.9700000000,109.6100000000,4.6000000000,4.6000000000
49,25,6,static,weighted_tardiness,0.0000000000,0.0000000000,0.000000,24.579,105,105,161.0500000000,161.0500000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
50,50,6,static,weighted_tardiness,0.0000000000,0.0000000000,0.000000,80.915,256,256,524.0800000000,524.0800000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
51,50,6,static,weighted_tardiness,13.5000000000,1.5000000000,88.888889,83.605,222,222,485.7200000000,500.8600000000,13.5000000000,1.5000000000,0.7500000000,0.7500000000
52,50,6,static,weighted_tardiness,206.3300000000,161.4400000000,21.756410,97.613,265,270,639.6300000000,711.4600000000,206.3300000000,161.4400000000,6.8600000000,6.9200000000
53,50,6,static,weighted_tardiness,26.7000000000,21.9600000000,17.752809,84.291,259,244,487.1600000000,495.9000000000,26.7000000000,21.9600000000,1.5700000000,1.0500000000
54,50,6,static,weighted_tardiness,0.0000000000,0.0000000000,0.000000,80.653,207,207,405.4700000000,405.4700000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
55,100,6,static,weighted_tardiness,0.9200000000,0.0000000000,100.000000,295.832,475,475,1236.1400000000,1308.4900000000,0.9200000000,0.0000000000,0.9200000000,0.0000000000
56,100,6,static,weighted_tardiness,176.9400000000,126.0900000000,28.738555,303.207,480,497,1161.7000000000,1367.5900000000,176.9400000000,126.0900000000,4.5100000000,4.7600000000
57,100,6,static,weighted_tardiness,0.0000000000,0.0000000000,0.000000,346.803,462,462,832.5000000000,832.5000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
58,100,6,static,weighted_tardiness,330.4500000000,247.3600000000,25.144500,363.700,454,467,1022.3200000000,1001.3700000000,330.4500000000,247.3600000000,14.6400000000,13.1000000000
59,100,6,static,weighted_tardiness,582.2100000000,481.2900000000,17.333952,436.087,509,522,1523.4700000000,1859.6200000000,582.2100000000,481.2900000000,16.2600000000,15.2600000000
60,12,6,static,weighted_tardiness,30.3800000000,1.4100000000,95.358789,13.675,101,90,214.7500000000,188.5400000000,30.3800000000,1.4100000000,1.5100000000,0.4700000000
61,12,6,static,weighted_tardiness,1.8400000000,1.8400000000,0.000000,11.780,63,63,94.1800000000,94.1800000000,1.8400000000,1.8400000000,0.9200000000,0.9200000000
