set_index,jobs,machines,mode,objective,minmin_value,aco_value,improvement_percent,minmin_makespan,aco_makespan,minmin_weighted_flow,aco_weighted_flow,minmin_weighted_tardiness,aco_weighted_tardiness,minmin_weighted_tardy_jobs,aco_weighted_tardy_jobs
52,50,6,static,weighted_flow,639.6300000000,623.1700000000,2.573363,265,265,639.6300000000,623.1700000000,206.3300000000,189.7600000000,6.8600000000,6.8600000000
53,50,6,static,weighted_flow,487.1600000000,450.2500000000,7.576566,259,246,487.1600000000,450.2500000000,26.7000000000,21.5400000000,1.5700000000,0.6300000000
54,50,6,static,weighted_flow,405.4700000000,393.0300000000,3.068044,207,225,405.4700000000,393.0300000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
55,100,6,static,weighted_flow,1236.1400000000,1156.6400000000,6.431310,475,466,1236.1400000000,1156.6400000000,0.9200000000,0.9200000000,0.9200000000,0.9200000000
56,100,6,static,weighted_flow,1161.7000000000,1085.6400000000,6.547301,480,489,1161.7000000000,1085.6400000000,176.9400000000,138.0100000000,4.5100000000,4.1300000000
57,100,6,static,weighted_flow,832.5000000000,819.9200000000,1.511111,462,456,832.5000000000,819.9200000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
58,100,6,static,weighted_flow,1022.3200000000,932.8200000000,8.754597,454,454,1022.3200000000,932.8200000000,330.4500000000,265.9800000000,14.6400000000,13.6700000000
59,100,6,static,weighted_flow,1523.4700000000,1448.1200000000,4.945946,509,522,1523.4700000000,1448.1200000000,582.2100000000,522.9600000000,16.2600000000,15.5600000000
60,12,6,static,weighted_flow,214.7500000000,195.8900000000,8.782305,101,95,214.7500000000,195.8900000000,30.3800000000,14.7200000000,1.5100000000,0.6400000000
61,12,6,static,weighted_flow,94.1800000000,94.1800000000,0.000000,63,63,94.1800000000,94.1800000000,1.8400000000,1.8400000000,0.9200000000,0.9200000000
62,12,6,static,weighted_flow,152.7000000000,136.3400000000,10.713818,105,75,152.7000000000,136.3400000000,97.9300000000,76.2900000000,4.7600000000,5.2000000000
63,12,6,static,weighted_flow,116.4700000000,109.3000000000,6.156092,107,90,116.4700000000,109.3000000000,18.8800000000,8.8500000000,0.5900000000,0.5900000000
64,12,6,static,weighted_flow,119.5300000000,118.7500000000,0.652556,73,68,119.5300000000,118.7500000000,72.3300000000,71.0100000000,3.8300000000,3.8300000000
65,25,6,static,weighted_flow,252.6800000000,240.8000000000,4.701599,160,162,252.6800000000,240.8000000000,5.4300000000,6.0300000000,1.4100000000,1.4100000000
66,25,6,static,weighted_flow,375.2600000000,345.7400000000,7.866546,165,216,375.2600000000,345.7400000000,175.1100000000,142.5900000000,6.2000000000,6.3100000000
67,25,6,static,weighted_flow,217.7200000000,206.0600000000,5.355502,117,117,217.7200000000,206.0600000000,14.5900000000,4.6300000000,1.1200000000,0.2700000000
68,25,6,static,weighted_flow,414.2700000000,378.7200000000,8.581360,182,175,414.2700000000,378.7200000000,101.2000000000,58.8800000000,0.9200000000,0.9200000000
69,25,6,static,weighted_flow,306.5100000000,278.1800000000,9.242765,156,125,306.5100000000,278.1800000000,120.2200000000,74.4600000000,2.3800000000,2.3800000000
70,50,6,static,weighted_flow,419.4200000000,399.3700000000,4.780411,229,226,419.4200000000,399.3700000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
71,50,6,static,weighted_flow,695.2000000000,666.3600000000,4.148446,264,261,695.2000000000,666.3600000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
72,50,6,static,weighted_flow,657.8100000000,636.2500000000,3.277542,251,227,657.8100000000,636.2500000000,0.8700000000,23.4900000000,0.8700000000,0.8700000000
73,50,6,static,weighted_flow,531.2000000000,525.8400000000,1.009036,237,240,531.2000000000,525.8400000000,67.0100000000,63.3600000000,2.5200000000,2.5800000000
74,50,6,static,weighted_flow,359.5400000000,347.5100000000,3.345942,252,252,359.5400000000,347.5100000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
75,100,6,static,weighted_flow,1215.0000000000,1145.8600000000,5.690535,422,435,1215.0000000000,1145.8600000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
76,100,6,static,weighted_flow,1006.2500000000,958.7100000000,4.724472,478,478,1006.2500000000,958.7100000000,90.7500000000,92.8800000000,7.1700000000,7.1600000000
77,100,6,static,weighted_flow,1401.1300000000,1289.7900000000,7.946443,482,504,1401.1300000000,1289.7900000000,334.6200000000,298.6600000000,5.2300000000,5.4700000000
78,100,6,static,weighted_flow,1278.5700000000,1238.3900000000,3.142573,441,440,1278.5700000000,1238.3900000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
79,100,6,static,weighted_flow,1520.0500000000,1425.7500000000,6.203743,498,498,1520.0500000000,1425.7500000000,625.2200000000,571.6700000000,18.8700000000,18.8700000000
80,25,10,static,weighted_flow,107.9400000000,105.3700000000,2.380952,96,90,107.9400000000,105.3700000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
81,25,10,static,weighted_flow,104.8300000000,103.1900000000,1.564438,96,96,104.8300000000,103.1900000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
82,25,10,static,weighted_flow,151.0800000000,133.9200000000,11.358221,94,74,151.0800000000,133.9200000000,50.2900000000,33.1300000000,6.8100000000,6.0600000000
83,25,10,static,weighted_flow,188.0700000000,174.5200000000,7.204764,102,102,188.0700000000,174.5200000000,3.2400000000,3.2400000000,0.5400000000,0.5400000000
84,25,10,static,weighted_flow,176.9700000000,173.7700000000,1.808216,104,104,176.9700000000,173.7700000000,71.9400000000,71.9400000000,3.6100000000,3.6100000000
85,25,10,static,weighted_flow,146.4000000000,144.3900000000,1.372951,96,96,146.4000000000,144.3900000000,3.6000000000,3.6000000000,0.6000000000,0.6000000000
86,25,10,static,weighted_flow,226.8500000000,203.2200000000,10.416575,99,96,226.8500000000,203.2200000000,12.9800000000,0.6800000000,1.5000000000,0.6800000000
87,25,10,static,weighted_flow,176.1800000000,163.1200000000,7.412873,100,100,176.1800000000,163.1200000000,40.6300000000,35.7300000000,1.6800000000,1.6800000000
88,25,10,static,weighted_flow,114.4100000000,113.1900000000,1.066340,71,71,114.4100000000,113.1900000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
89,25,10,static,weighted_flow,116.0800000000,115.8700000000,0.180910,91,91,116.0800000000,115.8700000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
90,50,10,static,weighted_flow,323.6500000000,301.5500000000,6.828364,153,153,323.6500000000,301.5500000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
91,50,10,static,weighted_flow,358.3700000000,340.5800000000,4.964143,153,153,358.3700000000,340.5800000000,44.7300000000,45.4800000000,5.9400000000,5.9400000000
92,50,10,static,weighted_flow,318.1300000000,317.7900000000,0.106875,146,146,318.1300000000,317.7900000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
93,50,10,static,weighted_flow,338.8600000000,328.2600000000,3.128136,139,139,338.8600000000,328.2600000000,61.8200000000,52.8100000000,3.7000000000,3.7000000000
94,50,10,static,weighted_flow,247.1400000000,240.1300000000,2.836449,137,137,247.1400000000,240.1300000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
95,100,10,static,weighted_flow,595.4000000000,558.8500000000,6.138730,266,266,595.4000000000,558.8500000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
96,100,10,static,weighted_flow,519.0700000000,511.1400000000,1.527732,272,271,519.0700000000,511.1400000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
97,100,10,static,weighted_flow,593.2700000000,555.8700000000,6.304044,296,280,593.2700000000,555.8700000000,23.6500000000,14.8500000000,0.5500000000,0.5500000000
98,100,10,static,weighted_flow,635.4800000000,613.2400000000,3.499717,279,276,635.4800000000,613.2400000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
99,100,10,static,weighted_flow,734.1000000000,691.1600000000,5.849339,277,277,734.1000000000,691.1600000000,66.6100000000,66.6400000000,7.6000000000,7.6000000000
100,25,10,static,weighted_flow,218.5800000000,212.4500000000,2.804465,87,87,218.5800000000,212.4500000000,95.0200000000,87.6300000000,6.8400000000,6.8400000000
101,25,10,static,weighted_flow,123.5300000000,121.9300000000,1.295232,95,95,123.5300000000,121.9300000000,7.4200000000,7.3700000000,0.4900000000,0.4900000000
102,25,10,static,weighted_flow,106.5000000000,104.3700000000,2.000000,72,72,106.5000000000,104.3700000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
103,25,10,static,weighted_flow,182.9500000000,167.6900000000,8.341077,96,96,182.9500000000,167.6900000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
104,25,10,static,weighted_flow,112.4600000000,112.4600000000,0.000000,68,68,112.4600000000,112.4600000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
105,25,10,static,weighted_flow,196.5800000000,190.8400000000,2.919931,77,77,196.5800000000,190.8400000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
106,25,10,static,weighted_flow,114.6500000000,113.2200000000,1.247274,83,83,114.6500000000,113.2200000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
107,25,10,static,weighted_flow,107.0900000000,105.4800000000,1.503408,83,83,107.0900000000,105.4800000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
108,25,10,static,weighted_flow,176.1900000000,176.1900000000,0.000000,89,89,176.1900000000,176.1900000000,65.8200000000,65.8200000000,6.2800000000,6.2800000000
109,25,10,static,weighted_flow,97.3900000000,95.3000000000,2.146011,74,71,97.3900000000,95.3000000000,4.8000000000,5.1000000000,0.9300000000,1.2300000000
110,50,10,static,weighted_flow,275.0700000000,269.1100000000,2.166721,145,138,275.0700000000,269.1100000000,0.3000000000,0.3000000000,0.0600000000,0.0600000000
111,50,10,static,weighted_flow,255.4700000000,250.2300000000,2.051121,181,181,255.4700000000,250.2300000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
112,50,10,static,weighted_flow,363.7100000000,348.2800000000,4.242391,143,148,363.7100000000,348.2800000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
113,50,10,static,weighted_flow,235.9800000000,231.5600000000,1.873040,151,151,235.9800000000,231.5600000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
114,50,10,static,weighted_flow,241.8600000000,238.1200000000,1.546349,139,135,241.8600000000,238.1200000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
115,100,10,static,weighted_flow,632.8600000000,612.3500000000,3.240843,269,269,632.8600000000,612.3500000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
116,100,10,static,weighted_flow,650.1000000000,621.0900000000,4.462390,266,264,650.1000000000,621.0900000000,7.7000000000,0.0000000000,0.7000000000,0.0000000000
117,100,10,static,weighted_flow,659.7900000000,636.2400000000,3.569318,277,261,659.7900000000,636.2400000000,36.4800000000,34.2800000000,3.3200000000,3.3200000000
118,100,10,static,weighted_flow,647.5900000000,638.0800000000,1.468522,272,272,647.5900000000,638.0800000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
119,100,10,static,weighted_flow,581.4500000000,561.4400000000,3.441397,287,285,581.4500000000,561.4400000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
