set_index,jobs,machines,mode,objective,minmin_value,aco_value,improvement_percent,set_runtime_ms,minmin_makespan,aco_makespan,minmin_weighted_flow,aco_weighted_flow,minmin_weighted_tardiness,aco_weighted_tardiness,minmin_weighted_tardy_jobs,aco_weighted_tardy_jobs
34,50,3,dynamic,weighted_flow,1711.3500000000,1525.7000000000,10.848161,21.868,547,593,1711.3500000000,1525.7000000000,81.9000000000,0.0000000000,0.4200000000,0.0000000000
35,100,3,dynamic,weighted_flow,4942.3500000000,3483.4300000000,29.518751,100.912,1142,1097,4942.3500000000,3483.4300000000,0.0000000000,1.1300000000,0.0000000000,0.0100000000
36,100,3,dynamic,weighted_flow,4294.1200000000,3359.6400000000,21.761851,103.460,1081,1037,4294.1200000000,3359.6400000000,545.3600000000,93.7500000000,4.0200000000,0.9300000000
37,100,3,dynamic,weighted_flow,4502.3600000000,3474.7500000000,22.823808,80.542,1037,1025,4502.3600000000,3474.7500000000,803.7800000000,495.0700000000,7.2300000000,7.4800000000
38,100,3,dynamic,weighted_flow,3243.2500000000,2790.4200000000,13.962229,63.154,1053,1072,3243.2500000000,2790.4200000000,1131.1200000000,825.6900000000,16.6500000000,16.0200000000
39,100,3,dynamic,weighted_flow,3877.4100000000,3216.9500000000,17.033535,40.883,1131,1097,3877.4100000000,3216.9500000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
40,12,6,dynamic,weighted_flow,218.3100000000,218.3100000000,0.000000,3.594,97,97,218.3100000000,218.3100000000,0.6500000000,0.6500000000,0.6500000000,0.6500000000
41,12,6,dynamic,weighted_flow,138.0800000000,115.6400000000,16.251448,3.257,108,107,138.0800000000,115.6400000000,32.4700000000,15.0500000000,1.4500000000,1.2900000000
42,12,6,dynamic,weighted_flow,276.0900000000,276.0900000000,0.000000,3.332,132,132,276.0900000000,276.0900000000,199.7800000000,199.7800000000,5.3900000000,5.3900000000
43,12,6,dynamic,weighted_flow,307.3800000000,307.3800000000,0.000000,3.168,142,142,307.3800000000,307.3800000000,141.6900000000,141.6900000000,4.3400000000,4.3400000000
44,12,6,dynamic,weighted_flow,298.0500000000,298.0500000000,0.000000,3.294,156,156,298.0500000000,298.0500000000,214.3800000000,214.3800000000,6.6900000000,6.6900000000
45,25,6,dynamic,weighted_flow,508.2200000000,425.4900000000,16.278383,12.951,201,193,508.2200000000,425.4900000000,11.7600000000,0.0000000000,0.9800000000,0.0000000000
46,25,6,dynamic,weighted_flow,524.3000000000,524.3000000000,0.000000,9.588,194,194,524.3000000000,524.3000000000,69.1900000000,69.1900000000,2.6800000000,2.6800000000
47,25,6,dynamic,weighted_flow,447.1000000000,403.6400000000,9.720420,8.471,182,158,447.1000000000,403.6400000000,234.3800000000,190.9200000000,6.5900000000,6.5900000000
48,25,6,dynamic,weighted_flow,428.1300000000,428.1300000000,0.000000,7.455,208,208,428.1300000000,428.1300000000,208.7400000000,208.7400000000,5.4400000000,5.4400000000
49,25,6,dynamic,weighted_flow,419.1500000000,419.1500000000,0.000000,5.952,141,141,419.1500000000,419.1500000000,16.3200000000,16.3200000000,0.9600000000,0.9600000000
50,50,6,dynamic,weighted_flow,898.9600000000,829.8300000000,7.689997,18.137,284,246,898.9600000000,829.8300000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
51,50,6,dynamic,weighted_flow,941.4700000000,933.6000000000,0.835927,32.564,272,282,941.4700000000,933.6000000000,12.6900000000,0.3600000000,1.4700000000,0.0600000000
52,50,6,dynamic,weighted_flow,1056.8000000000,968.0700000000,8.396101,17.244,284,308,1056.8000000000,968.0700000000,373.8800000000,366.8600000000,9.0900000000,9.3800000000
53,50,6,dynamic,weighted_flow,945.6800000000,803.7500000000,15.008248,23.648,315,277,945.6800000000,803.7500000000,145.6400000000,89.3100000000,4.5900000000,2.9300000000
54,50,6,dynamic,weighted_flow,1062.0800000000,951.6600000000,10.396580,24.243,240,271,1062.0800000000,951.6600000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
55,100,6,dynamic,weighted_flow,2231.3000000000,1706.8700000000,23.503339,181.285,501,498,2231.3000000000,1706.8700000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
56,100,6,dynamic,weighted_flow,1753.9300000000,1509.1800000000,13.954377,110.882,466,466,1753.9300000000,1509.1800000000,212.1800000000,88.5700000000,8.0700000000,4.2000000000
57,100,6,dynamic,weighted_flow,1854.8500000000,1769.6200000000,4.594981,52.486,502,508,1854.8500000000,1769.6200000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
58,100,6,dynamic,weighted_flow,1739.5200000000,1710.9500000000,1.642407,65.796,481,476,1739.5200000000,1710.9500000000,563.2900000000,671.8000000000,17.2400000000,16.8100000000
59,100,6,dynamic,weighted_flow,2020.8100000000,2072.3000000000,-2.547988,72.112,497,531,2020.8100000000,2072.3000000000,671.9700000000,811.1500000000,16.2300000000,17.6400000000
60,12,6,dynamic,weighted_flow,243.7700000000,243.7700000000,0.000000,4.710,112,112,243.7700000000,243.7700000000,10.4300000000,10.4300000000,1.4400000000,1.4400000000
61,12,6,dynamic,weighted_flow,342.3400000000,296.8000000000,13.302565,4.319,137,109,342.3400000000,296.8000000000,139.0500000000,93.5100000000,3.1200000000,3.1200000000
62,12,6,dynamic,weighted_flow,187.9700000000,178.0300000000,5.288078,4.678,79,139,187.9700000000,178.0300000000,115.3300000000,113.3000000000,5.8600000000,4.5300000000
63,12,6,dynamic,weighted_flow,212.9300000000,212.9300000000,0.000000,4.470,108,108,212.9300000000,212.9300000000,47.5100000000,47.5100000000,1.7100000000,1.7100000000
64,12,6,dynamic,weighted_flow,156.6900000000,156.6900000000,0.000000,4.414,103,103,156.6900000000,156.6900000000,109.4900000000,109.4900000000,3.8300000000,3.8300000000
65,25,6,dynamic,weighted_flow,484.9800000000,484.9800000000,0.000000,6.541,219,219,484.9800000000,484.9800000000,102.8400000000,102.8400000000,2.5800000000,2.5800000000
66,25,6,dynamic,weighted_flow,501.5800000000,455.2800000000,9.230831,9.095,183,206,501.5800000000,455.2800000000,239.3700000000,192.9900000000,8.1400000000,8.1600000000
67,25,6,dynamic,weighted_flow,386.2700000000,443.6700000000,-14.860072,8.132,138,162,386.2700000000,443.6700000000,43.5100000000,98.8100000000,4.0700000000,5.0000000000
68,25,6,dynamic,weighted_flow,615.3100000000,604.9800000000,1.678829,13.495,189,242,615.3100000000,604.9800000000,39.8000000000,41.8800000000,1.7800000000,1.8600000000
69,25,6,dynamic,weighted_flow,503.6500000000,457.3000000000,9.202819,10.947,165,139,503.6500000000,457.3000000000,88.2400000000,54.4300000000,2.6500000000,2.6500000000
70,50,6,dynamic,weighted_flow,537.6800000000,491.3500000000,8.616649,13.358,252,241,537.6800000000,491.3500000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
71,50,6,dynamic,weighted_flow,1057.1800000000,997.7200000000,5.624397,24.790,322,317,1057.1800000000,997.7200000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
72,50,6,dynamic,weighted_flow,839.5700000000,863.2900000000,-2.825256,26.488,246,261,839.5700000000,863.2900000000,0.0000000000,6.3600000000,0.0000000000,1.1400000000
73,50,6,dynamic,weighted_flow,797.0900000000,945.3800000000,-18.603922,18.986,257,256,797.0900000000,945.3800000000,154.3400000000,107.9000000000,4.6800000000,4.5200000000
74,50,6,dynamic,weighted_flow,1082.5000000000,1025.1600000000,5.296998,22.246,307,299,1082.5000000000,1025.1600000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
75,100,6,dynamic,weighted_flow,2327.4400000000,1953.4700000000,16.067869,59.257,446,428,2327.4400000000,1953.4700000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
76,100,6,dynamic,weighted_flow,1700.5800000000,1821.7100000000,-7.122864,41.893,494,478,1700.5800000000,1821.7100000000,243.9000000000,309.2200000000,8.7200000000,8.2900000000
77,100,6,dynamic,weighted_flow,1783.2800000000,1746.8000000000,2.045669,54.647,464,518,1783.2800000000,1746.8000000000,189.6800000000,149.6300000000,8.7200000000,6.9300000000
78,100,6,dynamic,weighted_flow,1780.6600000000,1818.9200000000,-2.148642,54.020,514,530,1780.6600000000,1818.9200000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
79,100,6,dynamic,weighted_flow,2153.1300000000,2157.4600000000,-0.201103,75.742,537,560,2153.1300000000,2157.4600000000,927.9700000000,866.3700000000,20.2100000000,20.9200000000
80,25,10,dynamic,weighted_flow,119.8100000000,137.0900000000,-14.422836,9.299,99,99,119.8100000000,137.0900000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
81,25,10,dynamic,weighted_flow,147.4800000000,147.4800000000,0.000000,10.578,141,141,147.4800000000,147.4800000000,7.0300000000,7.0300000000,0.1900000000,0.1900000000
82,25,10,dynamic,weighted_flow,150.6700000000,150.6700000000,0.000000,10.604,85,85,150.6700000000,150.6700000000,49.8800000000,49.8800000000,6.0600000000,6.0600000000
83,25,10,dynamic,weighted_flow,229.6400000000,229.6400000000,0.000000,9.265,97,97,229.6400000000,229.6400000000,0.5400000000,0.5400000000,0.5400000000,0.5400000000
84,25,10,dynamic,weighted_flow,290.9900000000,290.9900000000,0.000000,8.393,122,122,290.9900000000,290.9900000000,133.0900000000,133.0900000000,4.5800000000,4.5800000000
85,25,10,dynamic,weighted_flow,333.3500000000,333.3500000000,0.000000,10.320,138,138,333.3500000000,333.3500000000,37.2000000000,37.2000000000,1.2000000000,1.2000000000
86,25,10,dynamic,weighted_flow,425.7800000000,425.7800000000,0.000000,8.537,171,171,425.7800000000,425.7800000000,108.8600000000,108.8600000000,2.0200000000,2.0200000000
87,25,10,dynamic,weighted_flow,447.5700000000,447.5700000000,0.000000,8.327,130,130,447.5700000000,447.5700000000,250.0900000000,250.0900000000,9.1500000000,9.1500000000
88,25,10,dynamic,weighted_flow,274.1400000000,274.1400000000,0.000000,8.623,122,122,274.1400000000,274.1400000000,29.6500000000,29.6500000000,2.3800000000,2.3800000000
89,25,10,dynamic,weighted_flow,135.3200000000,162.1900000000,-19.856636,8.635,91,106,135.3200000000,162.1900000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
