set_index,jobs,machines,mode,objective,minmin_value,aco_value,improvement_percent,minmin_makespan,aco_makespan,minmin_weighted_flow,aco_weighted_flow,minmin_weighted_tardiness,aco_weighted_tardiness,minmin_weighted_tardy_jobs,aco_weighted_tardy_jobs
34,50,3,dynamic,weighted_tardy_jobs,0.4200000000,0.0000000000,100.000000,547,594,1711.3500000000,1697.7000000000,81.9000000000,0.0000000000,0.4200000000,0.0000000000
35,100,3,dynamic,weighted_tardy_jobs,0.0000000000,0.0000000000,0.000000,1142,1142,4942.3500000000,4942.3500000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
36,100,3,dynamic,weighted_tardy_jobs,4.0200000000,1.2300000000,69.402985,1081,1067,4294.1200000000,4188.1100000000,545.3600000000,202.0000000000,4.0200000000,1.2300000000
37,100,3,dynamic,weighted_tardy_jobs,7.2300000000,6.8000000000,5.947441,1037,1088,4502.3600000000,5287.1900000000,803.7800000000,785.2500000000,7.2300000000,6.8000000000
38,100,3,dynamic,weighted_tardy_jobs,16.6500000000,15.6200000000,6.186186,1053,1053,3243.2500000000,3221.3200000000,1131.1200000000,1008.7800000000,16.6500000000,15.6200000000
39,100,3,dynamic,weighted_tardy_jobs,0.0000000000,0.0000000000,0.000000,1131,1131,3877.4100000000,3877.4100000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
40,12,6,dynamic,weighted_tardy_jobs,0.6500000000,0.6500000000,0.000000,97,97,218.3100000000,218.3100000000,0.6500000000,0.6500000000,0.6500000000,0.6500000000
41,12,6,dynamic,weighted_tardy_jobs,1.4500000000,1.4500000000,0.000000,108,108,138.0800000000,138.0800000000,32.4700000000,32.4700000000,1.4500000000,1.4500000000
42,12,6,dynamic,weighted_tardy_jobs,5.3900000000,5.3900000000,0.000000,132,132,276.0900000000,276.0900000000,199.7800000000,199.7800000000,5.3900000000,5.3900000000
43,12,6,dynamic,weighted_tardy_jobs,4.3400000000,4.3400000000,0.000000,142,142,307.3800000000,307.3800000000,141.6900000000,141.6900000000,4.3400000000,4.3400000000
44,12,6,dynamic,weighted_tardy_jobs,6.6900000000,6.6900000000,0.000000,156,156,298.0500000000,298.0500000000,214.3800000000,214.3800000000,6.6900000000,6.6900000000
45,25,6,dynamic,weighted_tardy_jobs,0.9800000000,0.9800000000,0.000000,201,201,508.2200000000,508.2200000000,11.7600000000,11.7600000000,0.9800000000,0.9800000000
46,25,6,dynamic,weighted_tardy_jobs,2.6800000000,2.4100000000,10.074627,194,195,524.3000000000,516.8400000000,69.1900000000,60.4600000000,2.6800000000,2.4100000000
47,25,6,dynamic,weighted_tardy_jobs,6.5900000000,6.5900000000,0.000000,182,182,447.1000000000,447.1000000000,234.3800000000,234.3800000000,6.5900000000,6.5900000000
48,25,6,dynamic,weighted_tardy_jobs,5.4400000000,5.4400000000,0.000000,208,208,428.1300000000,428.1300000000,208.7400000000,208.7400000000,5.4400000000,5.4400000000
49,25,6,dynamic,weighted_tardy_jobs,0.9600000000,0.9600000000,0.000000,141,141,419.1500000000,419.1500000000,16.3200000000,16.3200000000,0.9600000000,0.9600000000
50,50,6,dynamic,weighted_tardy_jobs,0.0000000000,0.0000000000,0.000000,284,284,898.9600000000,898.9600000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
51,50,6,dynamic,weighted_tardy_jobs,1.4700000000,0.2900000000,80.272109,272,275,941.4700000000,924.2300000000,12.6900000000,8.4100000000,1.4700000000,0.2900000000
52,50,6,dynamic,weighted_tardy_jobs,9.0900000000,8.6200000000,5.170517,284,289,1056.8000000000,1079.9400000000,373.8800000000,379.8400000000,9.0900000000,8.6200000000
53,50,6,dynamic,weighted_tardy_jobs,4.5900000000,3.1100000000,32.244009,315,270,945.6800000000,881.0700000000,145.6400000000,130.5600000000,4.5900000000,3.1100000000
54,50,6,dynamic,weighted_tardy_jobs,0.0000000000,0.0000000000,0.000000,240,240,1062.0800000000,1062.0800000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
55,100,6,dynamic,weighted_tardy_jobs,0.0000000000,0.0000000000,0.000000,501,501,2231.3000000000,2231.3000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
56,100,6,dynamic,weighted_tardy_jobs,8.0700000000,4.6600000000,42.255266,466,511,1753.9300000000,1734.6300000000,212.1800000000,136.9500000000,8.0700000000,4.6600000000
57,100,6,dynamic,weighted_tardy_jobs,0.0000000000,0.0000000000,0.000000,502,502,1854.8500000000,1854.8500000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
58,100,6,dynamic,weighted_tardy_jobs,17.2400000000,17.2400000000,0.000000,481,481,1739.5200000000,1739.5200000000,563.2900000000,563.2900000000,17.2400000000,17.2400000000
59,100,6,dynamic,weighted_tardy_jobs,16.2300000000,14.9800000000,7.701787,497,489,2020.8100000000,2000.4500000000,671.9700000000,666.9700000000,16.2300000000,14.9800000000
60,12,6,dynamic,weighted_tardy_jobs,1.4400000000,1.4400000000,0.000000,112,112,243.7700000000,243.7700000000,10.4300000000,10.4300000000,1.4400000000,1.4400000000
61,12,6,dynamic,weighted_tardy_jobs,3.1200000000,3.1200000000,0.000000,137,137,342.3400000000,342.3400000000,139.0500000000,139.0500000000,3.1200000000,3.1200000000
62,12,6,dynamic,weighted_tardy_jobs,5.8600000000,4.5300000000,22.696246,79,139,187.9700000000,178.0300000000,115.3300000000,113.3000000000,5.8600000000,4.5300000000
63,12,6,dynamic,weighted_tardy_jobs,1.7100000000,1.7100000000,0.000000,108,108,212.9300000000,212.9300000000,47.5100000000,47.5100000000,1.7100000000,1.7100000000
64,12,6,dynamic,weighted_tardy_jobs,3.8300000000,3.8300000000,0.000000,103,103,156.6900000000,156.6900000000,109.4900000000,109.4900000000,3.8300000000,3.8300000000
65,25,6,dynamic,weighted_tardy_jobs,2.5800000000,2.5800000000,0.000000,219,219,484.9800000000,484.9800000000,102.8400000000,102.8400000000,2.5800000000,2.5800000000
66,25,6,dynamic,weighted_tardy_jobs,8.1400000000,8.1400000000,0.000000,183,183,501.5800000000,501.5800000000,239.3700000000,239.3700000000,8.1400000000,8.1400000000
67,25,6,dynamic,weighted_tardy_jobs,4.0700000000,3.1800000000,21.867322,138,138,386.2700000000,388.0600000000,43.5100000000,53.3400000000,4.0700000000,3.1800000000
68,25,6,dynamic,weighted_tardy_jobs,1.7800000000,1.7800000000,0.000000,189,189,615.3100000000,615.3100000000,39.8000000000,39.8000000000,1.7800000000,1.7800000000
69,25,6,dynamic,weighted_tardy_jobs,2.6500000000,2.6500000000,0.000000,165,165,503.6500000000,503.6500000000,88.2400000000,88.2400000000,2.6500000000,2.6500000000
