set_index,jobs,machines,mode,objective,minmin_value,aco_value,improvement_percent,set_runtime_ms,minmin_makespan,aco_makespan,minmin_weighted_flow,aco_weighted_flow,minmin_weighted_tardiness,aco_weighted_tardiness,minmin_weighted_tardy_jobs,aco_weighted_tardy_jobs
33,50,3,dynamic,weighted_tardiness,458.2000000000,404.9500000000,11.621563,19.073,479,501,1151.8900000000,1391.3700000000,458.2000000000,404.9500000000,9.2000000000,10.2600000000
34,50,3,dynamic,weighted_tardiness,81.9000000000,0.0000000000,100.000000,19.008,547,610,1711.3500000000,1890.1400000000,81.9000000000,0.0000000000,0.4200000000,0.0000000000
35,100,3,dynamic,weighted_tardiness,0.0000000000,0.0000000000,0.000000,47.520,1142,1142,4942.3500000000,4942.3500000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
36,100,3,dynamic,weighted_tardiness,545.3600000000,6.7400000000,98.764119,80.931,1081,1083,4294.1200000000,4350.7400000000,545.3600000000,6.7400000000,4.0200000000,0.4200000000
37,100,3,dynamic,weighted_tardiness,803.7800000000,469.3200000000,41.610889,88.529,1037,1064,4502.3600000000,5491.4200000000,803.7800000000,469.3200000000,7.2300000000,10.3000000000
38,100,3,dynamic,weighted_tardiness,1131.1200000000,792.1400000000,29.968527,68.763,1053,1136,3243.2500000000,4210.9000000000,1131.1200000000,792.1400000000,16.6500000000,17.3800000000
39,100,3,dynamic,weighted_tardiness,0.0000000000,0.0000000000,0.000000,41.000,1131,1131,3877.4100000000,3877.4100000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
40,12,6,dynamic,weighted_tardiness,0.6500000000,0.6500000000,0.000000,3.417,97,97,218.3100000000,218.3100000000,0.6500000000,0.6500000000,0.6500000000,0.6500000000
41,12,6,dynamic,weighted_tardiness,32.4700000000,32.4700000000,0.000000,3.126,108,108,138.0800000000,138.0800000000,32.4700000000,32.4700000000,1.4500000000,1.4500000000
42,12,6,dynamic,weighted_tardiness,199.7800000000,199.7800000000,0.000000,3.215,132,132,276.0900000000,276.0900000000,199.7800000000,199.7800000000,5.3900000000,5.3900000000
43,12,6,dynamic,weighted_tardiness,141.6900000000,141.6900000000,0.000000,3.326,142,142,307.3800000000,307.3800000000,141.6900000000,141.6900000000,4.3400000000,4.3400000000
44,12,6,dynamic,weighted_tardiness,214.3800000000,214.3800000000,0.000000,3.319,156,156,298.0500000000,298.0500000000,214.3800000000,214.3800000000,6.6900000000,6.6900000000
45,25,6,dynamic,weighted_tardiness,11.7600000000,11.7600000000,0.000000,12.115,201,201,508.2200000000,508.2200000000,11.7600000000,11.7600000000,0.9800000000,0.9800000000
46,25,6,dynamic,weighted_tardiness,69.1900000000,60.9600000000,11.894782,9.464,194,195,524.3000000000,558.3000000000,69.1900000000,60.9600000000,2.6800000000,2.4100000000
47,25,6,dynamic,weighted_tardiness,234.3800000000,190.9200000000,18.542538,8.443,182,158,447.1000000000,403.6400000000,234.3800000000,190.9200000000,6.5900000000,6.5900000000
48,25,6,dynamic,weighted_tardiness,208.7400000000,161.3100000000,22.722047,8.243,208,179,428.1300000000,398.6400000000,208.7400000000,161.3100000000,5.4400000000,4.7500000000
49,25,6,dynamic,weighted_tardiness,16.3200000000,16.3200000000,0.000000,5.977,141,141,419.1500000000,419.1500000000,16.3200000000,16.3200000000,0.9600000000,0.9600000000
50,50,6,dynamic,weighted_tardiness,0.0000000000,0.0000000000,0.000000,18.324,284,284,898.9600000000,898.9600000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
51,50,6,dynamic,weighted_tardiness,12.6900000000,7.5400000000,40.583136,31.667,272,272,941.4700000000,949.8300000000,12.6900000000,7.5400000000,1.4700000000,0.2900000000
52,50,6,dynamic,weighted_tardiness,373.8800000000,362.6900000000,2.992939,26.170,284,322,1056.8000000000,1211.0300000000,373.8800000000,362.6900000000,9.0900000000,10.0300000000
53,50,6,dynamic,weighted_tardiness,145.6400000000,117.6400000000,19.225488,32.838,315,297,945.6800000000,965.3900000000,145.6400000000,117.6400000000,4.5900000000,3.9800000000
54,50,6,dynamic,weighted_tardiness,0.0000000000,0.0000000000,0.000000,21.655,240,240,1062.0800000000,1062.0800000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
55,100,6,dynamic,weighted_tardiness,0.0000000000,0.0000000000,0.000000,70.522,501,501,2231.3000000000,2231.3000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
56,100,6,dynamic,weighted_tardiness,212.1800000000,75.0600000000,64.624376,92.722,466,491,1753.9300000000,1828.9700000000,212.1800000000,75.0600000000,8.0700000000,3.7500000000
57,100,6,dynamic,weighted_tardiness,0.0000000000,0.0000000000,0.000000,53.594,502,502,1854.8500000000,1854.8500000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
